"coursera_id","rin_community","age_group","what_is_your_gender","what_is_your_ethnicity_and_or_race_please_select_all_that_apply","what_pronouns_do_you_use","employment_status","what_is_you_approximate_monthly_income","which_certificate_s_are_you_most_interested_in","after_completion_of_the_course_which_wrap_around_supports_will_you_need","are_you_able_to_commit_10_15_hours_per_week_for_this_training","your_google_scholarship_gives_you_6_months_to_complete_your_certification_s_are_you_willing_to_commit_to_the_successful_completion_of_your_certification_s_within_this_time_constraint","this_training_is_online_please_rate_your_personal_computer_skills","are_you_a_veteran_of_the_united_states_armed_forces","join_date","latest_program_activity_date","cnt_enrollments","cnt_completions","enrolled_in_first_course","completed_first_course","completion_rate","has_recent_activity","zip_code","18_24","25_34","35_44","45_54","55","american_indian_or_alaska_native","asian","black_or_african_american","native_hawaiian_or_other_pac","white","race_prefer_not_to_say","female","male","non_binary","gender_prefer_not_to_say","data_analytics","project_management","cybersecurity","it_support","ux_design","job_referrals","resume_assistance","interview_practice","networking_opportunities","none_needed"
"e4cebbc6fd2ad93c6d7fb1e06d3b3f0b","Traverse City","45-54","""Female""","""White / Caucasian""","""She/her""",NA,"0","""Project Management""","""Referrals to job opportunities""","Yes","Yes",NA,NA,2025-02-20 19:42:54.796,2025-04-10 22:17:27.636,3,2,TRUE,TRUE,0.666666666666667,TRUE,"49686",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"f31932f2a77118f4480cda519b5e6742","Traverse City","45-54","""Female""","""White / Caucasian""","""She/her""",NA,"0","""Data Analytics, Project Management""","""Referrals to job opportunities, Resume assistance, Practice interviewing""","Yes","Yes",NA,NA,2025-03-05 16:59:01.507,2025-05-23 16:26:52.601,3,1,TRUE,TRUE,0.333333333333333,TRUE,"49684",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"4e15b92851aa5214e6cdd13e59b18220","Traverse City","25-34","""Male""","""White / Caucasian""","""He/his""","Full-time","3333.33","""Data Analytics, Project Management, UX (User Experience) Design""","""Referrals to job opportunities, Job seeking skills training, Information about other training programs""","Yes","Yes",NA,NA,2025-04-21 13:18:22.24,2025-04-21 13:18:22.24,0,0,TRUE,FALSE,0,TRUE,"49660",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"d087aa2d82bf5156b592d74fdeb0f600","Traverse City","25-34","""Male""","""White / Caucasian""","""He/his""","Full-time","8000","""Data Analytics, Project Management""","""Information about other training programs""","Yes","Yes",NA,NA,2025-02-03 20:23:23.993,2025-02-21 17:15:10.751,1,0,TRUE,FALSE,0,TRUE,"49684",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2a260e52c29cd403ed8a3d12ccda0f5c","Traverse City","45-54","""Female""","""White / Caucasian""","""She/her""",NA,"1500","""Project Management, UX (User Experience) Design""","""Referrals to job opportunities""","Yes","Yes",NA,NA,2025-02-28 21:08:22.668,2025-02-28 22:12:16.607,1,0,TRUE,FALSE,0,TRUE,"49690",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"a12146e771b7721137b1610b79a42f7a","Traverse City","35-44","""Female""","""White / Caucasian""","""She/her""",NA,"2,000","""Data Analytics, Project Management, Cybersecurity, IT Support, UX (User Experience) Design""","""Information about other training programs, No, I don't need additional services""","Yes","Yes",NA,NA,2025-03-10 13:29:55.758,2025-03-18 18:53:01.159,1,0,TRUE,FALSE,0,TRUE,"49690",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9ab78c90f52c32d8e6f2cfecbecedb30","Traverse City","35-44","""Female""","""White / Caucasian""","""She/her""","Full-time","1,400","""Project Management, UX (User Experience) Design""","""No, I don't need additional services""","Yes","Yes",NA,NA,2025-04-16 15:57:15.511,2025-05-15 13:30:51.134,4,2,TRUE,TRUE,0.5,TRUE,"49686",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3ea741cb77a5764fe11c8e12e403bc68","Manitowoc County","35-44","""Male""","""Asian or Pacific Islander""","""He/his""",NA,"Currently Unemployed","""Data Analytics""","""Referrals to job opportunities""","Yes","Yes",NA,NA,2025-04-30 03:46:37.943,2025-06-18 04:41:38.199,1,0,TRUE,FALSE,0,TRUE,"60608",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"49a88c80a4aeb203734a83508b6fd3a6","Taos","35-44","""Female""","""Asian or Pacific Islander, White / Caucasian""","""She/her""",NA,"2200","""Project Management, IT Support""","""Referrals to job opportunities, Resume assistance, Information about other training programs""","Yes","Yes",NA,NA,2025-04-28 18:30:36.341,2025-04-30 17:36:53.913,2,0,TRUE,FALSE,0,TRUE,"87571",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"7796215084e33d098fdf372ecf45d3b9","Traverse City","25-34","""Female""","""White / Caucasian""","""She/her""","Full-time","3000","""Data Analytics""","""Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing""","Yes","Yes",NA,NA,2025-05-07 01:21:54.787,2025-05-07 01:26:46.246,1,0,TRUE,FALSE,0,TRUE,"49685",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
